순위,영화명,평점,날짜
1,가나의 혼인잔치: 언약,9.59,20210101
2,언플랜드,9.52,20210101
3,극장판 바이올렛 에버가든,9.49,20210101
4,부활: 그 증거,9.40,20210101
5,소년시절의 너,9.39,20210101
6,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.26,20210101
7,일 포스티노,9.16,20210101
8,제리 맥과이어,9.16,20210101
9,사랑의 블랙홀,9.15,20210101
10,러브레터,9.12,20210101
11,타오르는 여인의 초상,9.07,20210101
12,글루미 선데이,9.06,20210101
13,당신이 잠든 사이에,9.06,20210101
14,노트북,9.05,20210101
15,비긴 어게인,9.04,20210101
16,굿바이,9.04,20210101
17,"조제, 호랑이 그리고 물고기들",9.00,20210101
18,윤희에게,8.98,20210101
19,남매의 여름밤,8.96,20210101
20,러브 액츄얼리,8.93,20210101
21,담보,8.91,20210101
22,해리가 샐리를 만났을 때,8.89,20210101
23,화양연화,8.80,20210101
24,찬실이는 복도 많지,8.72,20210101
25,귀여운 여인,8.70,20210101
26,피아노,8.66,20210101
27,캡틴 판타스틱,8.65,20210101
28,퐁네프의 연인들,8.63,20210101
29,라라랜드,8.61,20210101
30,철도원,8.59,20210101
31,아비정전,8.50,20210101
32,레토,8.43,20210101
33,삼진그룹 영어토익반,8.36,20210101
34,테넷,8.20,20210101
35,런,8.17,20210101
36,하나와 앨리스,8.11,20210101
37,일대종사,8.01,20210101
38,존 윅 3: 파라벨룸,8.01,20210101
39,아이 엠 러브,7.85,20210101
40,펀치 드렁크 러브,7.72,20210101
41,루비 스팍스,7.51,20210101
42,도굴,7.36,20210101
43,애비규환,7.02,20210101
44,프리키 데스데이,6.84,20210101
45,조제,6.65,20210101
46,이웃사촌,5.98,20210101
47,원더 우먼 1984,5.49,20210101
48,800,3.60,20210101
1,가나의 혼인잔치: 언약,9.56,20210102
2,언플랜드,9.50,20210102
3,극장판 바이올렛 에버가든,9.50,20210102
4,부활: 그 증거,9.40,20210102
5,소년시절의 너,9.39,20210102
6,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.26,20210102
7,일 포스티노,9.16,20210102
8,제리 맥과이어,9.16,20210102
9,사랑의 블랙홀,9.15,20210102
10,러브레터,9.12,20210102
11,타오르는 여인의 초상,9.07,20210102
12,글루미 선데이,9.06,20210102
13,당신이 잠든 사이에,9.06,20210102
14,노트북,9.05,20210102
15,비긴 어게인,9.04,20210102
16,굿바이,9.04,20210102
17,"조제, 호랑이 그리고 물고기들",9.00,20210102
18,윤희에게,8.99,20210102
19,남매의 여름밤,8.96,20210102
20,러브 액츄얼리,8.93,20210102
21,담보,8.91,20210102
22,해리가 샐리를 만났을 때,8.89,20210102
23,화양연화,8.79,20210102
24,찬실이는 복도 많지,8.72,20210102
25,귀여운 여인,8.70,20210102
26,피아노,8.66,20210102
27,캡틴 판타스틱,8.65,20210102
28,퐁네프의 연인들,8.63,20210102
29,라라랜드,8.61,20210102
30,철도원,8.59,20210102
31,아비정전,8.50,20210102
32,레토,8.43,20210102
33,삼진그룹 영어토익반,8.36,20210102
34,테넷,8.20,20210102
35,런,8.17,20210102
36,하나와 앨리스,8.11,20210102
37,존 윅 3: 파라벨룸,8.01,20210102
38,아이 엠 러브,7.85,20210102
39,펀치 드렁크 러브,7.71,20210102
40,루비 스팍스,7.51,20210102
41,도굴,7.34,20210102
42,애비규환,7.02,20210102
43,프리키 데스데이,6.82,20210102
44,조제,6.63,20210102
45,이웃사촌,6.00,20210102
46,원더 우먼 1984,5.48,20210102
47,800,3.60,20210102
1,가나의 혼인잔치: 언약,9.54,20210103
2,극장판 바이올렛 에버가든,9.50,20210103
3,언플랜드,9.49,20210103
4,부활: 그 증거,9.40,20210103
5,소년시절의 너,9.39,20210103
6,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.26,20210103
